,Date,Group,Repeating No,String,Trend No,Dec No
530,2014-06-15,A,4,wouj,154.0,7701.0
531,2014-06-16,B,6,ofjt,312.0,2169.0
532,2014-06-17,C,5,xxzx,355.5,4356.0
533,2014-06-18,D,10,fwvk,400.0,2227.5
534,2014-06-19,E,5,nfml,405.0,1364.0
535,2014-06-20,A,9,xvcb,328.0,51.0
536,2014-06-21,B,9,bcmw,166.0,821.2857143
537,2014-06-22,C,3,gmsg,252.0,2478.0
538,2014-06-23,D,10,iiki,42.5,560.5714286
539,2014-06-24,E,9,xkjc,301.0,737.3333333
540,2014-06-25,A,6,dbcb,87.0,1988.333333
541,2014-06-26,B,6,bvqe,264.0,687.4444444
542,2014-06-27,C,4,bxmv,311.5,825.0
543,2014-06-28,D,9,ibgg,180.0,257.25
544,2014-06-29,E,9,dnyp,91.0,588.4
545,2014-06-30,A,8,zizw,46.0,2070.5
546,2014-07-01,B,6,xmys,232.5,2317.5
547,2014-07-02,C,9,wcob,141.0,287.8571429
548,2014-07-03,D,3,qaxf,285.0,198.8571429
549,2014-07-04,E,2,ijqs,384.0,6338.0
550,2014-07-05,A,8,hyvv,97.0,871.5555556
551,2014-07-06,B,4,akmj,147.0,467.6666667
552,2014-07-07,C,7,umvl,297.0,881.1666667
553,2014-07-08,D,4,atzs,150.0,1013.714286
554,2014-07-09,E,2,wmdh,151.5,597.3333333
555,2014-07-10,A,9,cfvi,510.0,992.5
556,2014-07-11,B,6,cakn,515.0,1131.0
557,2014-07-12,C,1,czbi,52.0,658.625
558,2014-07-13,D,8,xgom,105.0,1599.6
559,2014-07-14,E,10,onmp,530.0,1608.2
560,2014-07-15,A,5,rixy,535.0,536.1428571
561,2014-07-16,B,8,xwmy,162.0,694.3333333
562,2014-07-17,C,3,jhok,163.5,119.4285714
563,2014-07-18,D,1,kjjx,110.0,911.1111111
564,2014-07-19,E,9,jckf,555.0,586.4444444
565,2014-07-20,A,7,ojhu,112.0,1795.0
566,2014-07-21,B,3,ziks,226.0,1597.0
567,2014-07-22,C,5,bgut,228.0,969.5
568,2014-07-23,D,3,kzks,345.0,2465.666667
569,2014-07-24,E,10,kzdm,580.0,1484.2
570,2014-07-25,A,1,mvqq,409.5,1006.166667
571,2014-07-26,B,3,lvys,295.0,126.75
572,2014-07-27,C,8,qphn,59.5,36.25
573,2014-07-28,D,5,dtlo,120.0,1060.666667
574,2014-07-29,E,10,nigc,423.5,244.8571429
575,2014-07-30,A,2,xvzt,183.0,208.4444444
576,2014-07-31,B,6,rdin,184.5,1923.333333
577,2014-08-01,C,4,gxkj,496.0,7807.0
578,2014-08-02,D,5,fpjf,312.5,1164.25
579,2014-08-03,E,5,mdgo,441.0,867.2222222
580,2014-08-04,A,3,lwed,508.0,611.3333333
581,2014-08-05,B,4,wlna,128.0,260.4
582,2014-08-06,C,6,gifg,516.0,820.375
583,2014-08-07,D,6,scqr,130.0,1578.0
584,2014-08-08,E,5,zerh,196.5,3974.5
585,2014-08-09,A,5,nigz,528.0,869.0
586,2014-08-10,B,4,cakp,266.0,134.0
587,2014-08-11,C,8,aicj,201.0,684.5
588,2014-08-12,D,2,jfdh,337.5,543.25
589,2014-08-13,E,10,ogmc,476.0,337.2222222
590,2014-08-14,A,1,foge,68.5,3188.0
591,2014-08-15,B,1,xqrg,621.0,1312.0
592,2014-08-16,C,2,ujff,486.5,706.3333333
593,2014-08-17,D,10,bivz,350.0,3052.333333
594,2014-08-18,E,1,wffu,211.5,332.125
595,2014-08-19,A,9,kpye,142.0,2153.0
596,2014-08-20,B,5,ovvs,286.0,1052.0
597,2014-08-21,C,4,cwui,216.0,3382.0
598,2014-08-22,D,9,nsao,72.5,754.0
599,2014-08-23,E,8,aoxf,292.0,1186.5
600,2014-08-24,A,4,qxuw,147.0,963.4444444
601,2014-08-25,B,3,vtqz,74.0,474.8571429
602,2014-08-26,C,1,dhoq,372.5,512.625
603,2014-08-27,D,7,ujjd,450.0,292.0
604,2014-08-28,E,2,acyc,0.0,693.0
605,2014-08-29,A,9,pzqd,2.5,817.5714286
606,2014-08-30,B,4,wrbk,8.0,628.0
607,2014-08-31,C,6,slbc,9.0,2196.0
608,2014-09-01,D,6,shzc,16.0,981.3333333
609,2014-09-02,E,9,fhsi,2.5,466.1666667
610,2014-09-03,A,6,uxac,27.0,729.3333333
611,2014-09-04,B,7,ymeu,28.0,769.3333333
612,2014-09-05,C,3,wqrf,36.0,8363.0
613,2014-09-06,D,1,tzpt,36.0,1167.166667
614,2014-09-07,E,2,bkag,35.0,2247.0
615,2014-09-08,A,6,pqls,38.5,680.5555556
616,2014-09-09,B,3,ckkf,60.0,9395.0
617,2014-09-10,C,6,ijdu,52.0,3276.333333
618,2014-09-11,D,8,wceq,42.0,300.0
619,2014-09-12,E,10,nles,75.0,914.2222222
620,2014-09-13,A,1,ouna,48.0,3693.5
621,2014-09-14,B,9,yiqe,25.5,4470.0
622,2014-09-15,C,4,rydr,90.0,808.4
623,2014-09-16,D,2,gvto,47.5,412.8888889
624,2014-09-17,E,1,fpwx,60.0,670.2
625,2014-09-18,A,3,xueb,73.5,1049.5
626,2014-09-19,B,6,lunw,11.0,2140.25
627,2014-09-20,C,2,tebp,11.5,159.8333333
628,2014-09-21,D,2,sfib,24.0,9006.0
629,2014-09-22,E,6,xwgt,37.5,1181.75
630,2014-09-23,A,9,iqcb,104.0,431.0
631,2014-09-24,B,3,xcin,108.0,156.0
632,2014-09-25,C,4,junq,70.0,2129.5
633,2014-09-26,D,4,psro,101.5,1222.333333
634,2014-09-27,E,9,ihpg,60.0,2069.0
635,2014-09-28,A,10,nrhi,93.0,275.3
636,2014-09-29,B,8,bubw,128.0,406.8
637,2014-09-30,C,4,kxea,49.5,867.6
638,2014-10-01,D,10,zbma,51.0,2029.0
639,2014-10-02,E,1,cstr,157.5,2086.0
640,2014-10-03,A,9,mbop,126.0,8508.0
641,2014-10-04,B,1,tdtf,129.5,965.2
642,2014-10-05,C,6,pwgv,76.0,147.5714286
643,2014-10-06,D,5,ifqo,78.0,1149.75
644,2014-10-07,E,3,ubxt,120.0,7659.0
645,2014-10-08,A,5,qxto,123.0,999.9
646,2014-10-09,B,3,zpwr,168.0,604.5714286
647,2014-10-10,C,5,pxwa,150.5,677.3
648,2014-10-11,D,5,xbes,154.0,101.3333333
649,2014-10-12,E,7,cosi,202.5,1825.0
650,2014-10-13,A,3,xgoz,46.0,234.8
651,2014-10-14,B,1,uivu,117.5,499.7142857
652,2014-10-15,C,8,biua,120.0,2422.333333
653,2014-10-16,D,6,sxbs,122.5,7696.0
654,2014-10-17,E,10,aoyq,250.0,1039.5
655,2014-10-18,A,7,gwot,178.5,336.0
656,2014-10-19,B,4,xaen,260.0,870.5555556
657,2014-10-20,C,8,rflm,106.0,961.0
658,2014-10-21,D,7,hgnb,135.0,194.6666667
659,2014-10-22,E,7,dvng,275.0,2626.0
660,2014-10-23,A,4,wtuk,280.0,355.6
661,2014-10-24,B,7,udtr,199.5,8079.0
662,2014-10-25,C,4,lwcw,29.0,4138.5
663,2014-10-26,D,6,waks,88.5,74.44444444
664,2014-10-27,E,4,tlkl,60.0,1672.666667
665,2014-10-28,A,1,jfsh,213.5,1029.25
666,2014-10-29,B,5,rlik,62.0,1758.2
667,2014-10-30,C,3,kdso,189.0,3970.0
668,2014-10-31,D,9,jnif,224.0,1884.75
669,2014-11-01,E,10,sthk,292.5,248.6666667
670,2014-11-02,A,4,akee,66.0,1650.6
671,2014-11-03,B,5,cclm,234.5,1209.375
672,2014-11-04,C,10,klsb,204.0,917.8
673,2014-11-05,D,10,owog,345.0,278.5
674,2014-11-06,E,3,rnmt,315.0,7760.0
675,2014-11-07,A,3,tvtz,106.5,459.8
676,2014-11-08,B,2,tota,36.0,120.5714286
677,2014-11-09,C,7,obse,328.5,156.7
678,2014-11-10,D,6,ssep,185.0,3438.5
679,2014-11-11,E,3,dohv,150.0,1235.142857
680,2014-11-12,A,8,bwbg,228.0,1422.666667
681,2014-11-13,B,8,hgjz,346.5,2373.333333
682,2014-11-14,C,8,pbwd,156.0,355.4285714
683,2014-11-15,D,4,sing,118.5,1527.75
684,2014-11-16,E,3,bllx,400.0,1930.75
685,2014-11-17,A,2,erfl,81.0,996.6666667
686,2014-11-18,B,8,yyuv,246.0,303.0
687,2014-11-19,C,2,fahc,41.5,4888.0
688,2014-11-20,D,5,ucim,252.0,580.5
689,2014-11-21,E,7,racz,297.5,502.7777778
690,2014-11-22,A,8,eyrc,215.0,1449.333333
691,2014-11-23,B,3,lcev,87.0,81.75
692,2014-11-24,C,1,exdm,176.0,1214.375
693,2014-11-25,D,2,dsfd,311.5,717.0
694,2014-11-26,E,9,xvfe,225.0,406.4
695,2014-11-27,A,7,uzol,318.5,693.5714286
696,2014-11-28,B,6,mgdd,322.0,811.1111111
697,2014-11-29,C,3,imhc,139.5,423.8888889
698,2014-11-30,D,6,sngt,235.0,291.8888889
699,2014-12-01,E,9,cgfs,380.0,1431.0
700,2014-12-02,A,5,xtiu,336.0,1991.0
701,2014-12-03,B,5,ugoz,242.5,340.1
702,2014-12-04,C,3,ndfx,441.0,1104.666667
703,2014-12-05,D,3,typd,495.0,1559.25
704,2014-12-06,E,9,qndv,350.0,323.5
705,2014-12-07,A,7,qtco,404.0,1152.4
706,2014-12-08,B,7,kisb,510.0,1639.4
707,2014-12-09,C,6,wdar,463.5,3753.0
708,2014-12-10,D,9,fiic,416.0,198.3333333
709,2014-12-11,E,9,gfsx,315.0,9384.0
710,2014-12-12,A,1,jvxe,318.0,671.125
711,2014-12-13,B,5,ltuf,107.0,316.0
712,2014-12-14,C,10,vuxh,108.0,1252.5
713,2014-12-15,D,2,bdeh,109.0,5853.0
714,2014-12-16,E,8,lods,440.0,1491.333333
715,2014-12-17,A,8,nijr,388.5,345.6666667
716,2014-12-18,B,5,dmtp,224.0,2635.0
717,2014-12-19,C,9,fpop,282.5,142.7142857
718,2014-12-20,D,9,fklj,399.0,27.2
719,2014-12-21,E,2,vmcb,172.5,225.5
720,2014-12-22,A,2,jsto,580.0,464.0
721,2014-12-23,B,2,pykr,351.0,622.8888889
722,2014-12-24,C,1,mxsq,413.0,2860.666667
723,2014-12-25,D,5,dpag,119.0,1847.333333
724,2014-12-26,E,10,xnvu,600.0,351.3
725,2014-12-27,A,8,azym,242.0,419.1
726,2014-12-28,B,5,vjgw,122.0,318.2
727,2014-12-29,C,8,egyk,184.5,212.0
728,2014-12-30,D,8,zzjb,434.0,2281.75
729,2014-12-31,E,5,ytpo,312.5,1059.0
730,2015-01-01,A,3,nlgf,378.0,3038.0
731,2015-01-02,B,5,bxdi,127.0,1043.333333
732,2015-01-03,C,8,wkwv,640.0,918.8571429
733,2015-01-04,D,4,pwdc,64.5,309.4
734,2015-01-05,E,4,ozcn,455.0,1810.5
735,2015-01-06,A,1,hzll,655.0,364.7142857
736,2015-01-07,B,8,sfld,264.0,1276.428571
737,2015-01-08,C,7,xslf,266.0,1434.666667
738,2015-01-09,D,1,bvxb,670.0,598.6666667
739,2015-01-10,E,4,besk,675.0,67.0
740,2015-01-11,A,7,hovu,476.0,3967.0
741,2015-01-12,B,2,enxg,274.0,1865.25
742,2015-01-13,C,10,krdz,69.0,2049.0
743,2015-01-14,D,4,zkhn,69.5,518.6666667
744,2015-01-15,E,1,ekyo,490.0,1464.0
745,2015-01-16,A,6,asdq,352.5,327.2222222
746,2015-01-17,B,4,hsjr,284.0,2975.0
747,2015-01-18,C,4,elsb,643.5,669.4
748,2015-01-19,D,6,gpdk,216.0,1144.333333
749,2015-01-20,E,1,yxlh,145.0,1149.0
750,2015-01-21,A,6,wefh,219.0,2121.0
751,2015-01-22,B,5,vfbe,73.5,914.6666667
752,2015-01-23,C,5,oppg,592.0,732.125
753,2015-01-24,D,7,xhax,298.0,356.0
754,2015-01-25,E,1,aqnb,450.0,2930.0
755,2015-01-26,A,5,fian,0.0,7591.0
756,2015-01-27,B,6,dhec,5.0,1215.875
757,2015-01-28,C,3,slom,2.0,1001.2
758,2015-01-29,D,3,ddfo,15.0,484.125
759,2015-01-30,E,1,sbli,18.0,2021.5
760,2015-01-31,A,8,bbgo,15.0,2296.5
761,2015-02-01,B,2,pcrw,9.0,130.1666667
762,2015-02-02,C,5,pjjs,31.5,9423.0
763,2015-02-03,D,10,cpjk,32.0,425.7777778
764,2015-02-04,E,10,kqpy,27.0,1294.714286
765,2015-02-05,A,4,qynr,45.0,675.3333333
766,2015-02-06,B,2,xgcn,44.0,8603.0
767,2015-02-07,C,1,vcnh,36.0,74.0
768,2015-02-08,D,3,ueyr,52.0,221.0
769,2015-02-09,E,2,oycu,70.0,636.6666667
770,2015-02-10,A,6,vltj,15.0,393.2222222
771,2015-02-11,B,4,ehxo,8.0,586.0
772,2015-02-12,C,4,zvrg,42.5,2043.333333
773,2015-02-13,D,1,lugx,45.0,3913.0
774,2015-02-14,E,10,bmpx,76.0,949.6666667
775,2015-02-15,A,4,lisq,60.0,781.375
776,2015-02-16,B,2,dofv,52.5,4260.5
777,2015-02-17,C,1,vokh,33.0,1675.0
778,2015-02-18,D,10,utfb,69.0,1628.5
779,2015-02-19,E,5,lzan,72.0,400.8888889
780,2015-02-20,A,2,egja,100.0,773.8
781,2015-02-21,B,8,tbjx,52.0,21.83333333
782,2015-02-22,C,5,venn,13.5,59.0
783,2015-02-23,D,2,tbaa,84.0,1157.0
784,2015-02-24,E,7,kmrd,43.5,646.875
785,2015-02-25,A,7,sdta,90.0,571.1428571
786,2015-02-26,B,6,riiu,62.0,1172.833333
787,2015-02-27,C,1,uwph,64.0,2649.5
788,2015-02-28,D,6,pegr,115.5,162.8571429
789,2015-03-01,E,7,uqie,51.0,398.75
790,2015-03-02,A,5,uerq,105.0,835.0
791,2015-03-03,B,8,qlby,144.0,281.4285714
792,2015-03-04,C,8,vobz,129.5,929.3333333
793,2015-03-05,D,10,esfw,133.0,413.5
794,2015-03-06,E,10,lrci,19.5,1327.5
795,2015-03-07,A,3,vygd,140.0,5984.0
796,2015-03-08,B,10,qoyd,123.0,38.88888889
797,2015-03-09,C,2,dohh,63.0,761.1111111
798,2015-03-10,D,10,jftm,107.5,2600.0
799,2015-03-11,E,1,hmna,154.0,364.0
800,2015-03-12,A,2,zpri,45.0,1091.5
801,2015-03-13,B,9,iflw,69.0,1938.25
802,2015-03-14,C,4,rauy,211.5,7129.0
803,2015-03-15,D,7,jkgu,72.0,2674.0
804,2015-03-16,E,6,fdwi,49.0,1332.0
805,2015-03-17,A,2,jgvu,250.0,1653.4
806,2015-03-18,B,4,nclo,153.0,4271.0
807,2015-03-19,C,4,vkxx,156.0,854.0
808,2015-03-20,D,1,kyub,26.5,541.1428571
809,2015-03-21,E,5,lfji,270.0,57.66666667
810,2015-03-22,A,2,qvav,192.5,392.625
811,2015-03-23,B,8,efic,168.0,4113.5
812,2015-03-24,C,5,tngr,256.5,591.9
813,2015-03-25,D,9,vemn,290.0,3718.0
814,2015-03-26,E,9,hqau,59.0,2763.0
815,2015-03-27,A,1,nrop,240.0,622.0
816,2015-03-28,B,6,eosf,61.0,664.3333333
817,2015-03-29,C,1,pico,155.0,186.0
818,2015-03-30,D,1,pocr,126.0,3921.0
819,2015-03-31,E,4,lfpr,320.0,3324.5
820,2015-04-01,A,8,vcgo,162.5,14.28571429
821,2015-04-02,B,2,jcrr,231.0,314.5555556
822,2015-04-03,C,5,svll,67.0,431.9
823,2015-04-04,D,4,jwxy,204.0,1108.555556
824,2015-04-05,E,9,efce,138.0,463.3333333
825,2015-04-06,A,3,fukg,210.0,2789.333333
826,2015-04-07,B,5,xdfc,35.5,603.8333333
827,2015-04-08,C,3,xkjf,360.0,304.2222222
828,2015-04-09,D,3,yexo,146.0,112.0
829,2015-04-10,E,5,ohkc,148.0,8637.0
830,2015-04-11,A,6,zvhl,262.5,1136.428571
831,2015-04-12,B,8,zumh,380.0,1213.714286
832,2015-04-13,C,2,fsya,308.0,1563.0
833,2015-04-14,D,7,jxse,351.0,2566.666667
834,2015-04-15,E,3,dbtl,355.5,1351.5
835,2015-04-16,A,3,lzcn,200.0,831.5
836,2015-04-17,B,1,lmks,364.5,950.4285714
837,2015-04-18,C,6,chjp,123.0,1338.142857
838,2015-04-19,D,1,rfzf,166.0,783.0
839,2015-04-20,E,2,irqf,336.0,1776.8
840,2015-04-21,A,8,dskr,42.5,830.6
841,2015-04-22,B,2,gtnz,430.0,860.3333333
842,2015-04-23,C,8,umly,130.5,1383.333333
843,2015-04-24,D,5,psrc,88.0,654.125
844,2015-04-25,E,4,jidv,400.5,2424.666667
845,2015-04-26,A,3,usnw,180.0,1977.25
846,2015-04-27,B,6,ulna,182.0,155.4
847,2015-04-28,C,2,rytv,46.0,1245.8
848,2015-04-29,D,4,lmjs,93.0,1185.857143
849,2015-04-30,E,6,eshc,94.0,1837.25
850,2015-05-01,A,3,bcsi,95.0,327.7
851,2015-05-02,B,4,wpwz,96.0,604.9
852,2015-05-03,C,2,jvoq,97.0,351.8333333
853,2015-05-04,D,4,bgwx,343.0,1979.25
854,2015-05-05,E,4,alnn,49.5,2487.5
855,2015-05-06,A,2,pixv,450.0,1065.0
856,2015-05-07,B,3,uybl,101.0,2034.0
857,2015-05-08,C,3,jzgw,255.0,209.6666667
858,2015-05-09,D,8,yfgq,103.0,981.1111111
859,2015-05-10,E,10,yplb,520.0,644.0
860,2015-05-11,A,3,gmvg,525.0,467.7142857
861,2015-05-12,B,3,osqk,53.0,844.1428571
862,2015-05-13,C,1,guqz,107.0,941.5
863,2015-05-14,D,3,qnzh,324.0,156.5
864,2015-05-15,E,8,faxi,490.5,4363.0
865,2015-05-16,A,1,grek,440.0,533.5
866,2015-05-17,B,10,qdkl,388.5,232.4285714
867,2015-05-18,C,3,skee,392.0,744.3333333
868,2015-05-19,D,10,epsu,452.0,2067.0
869,2015-05-20,E,10,lpkg,513.0,278.0
870,2015-05-21,A,7,avwz,575.0,641.8571429
871,2015-05-22,B,5,imhx,522.0,6719.0
872,2015-05-23,C,6,pmix,409.5,1256.25
873,2015-05-24,D,10,nplk,590.0,154.2222222
874,2015-05-25,E,1,mwdf,416.5,968.5
875,2015-05-26,A,7,jooq,420.0,980.125
876,2015-05-27,B,4,curd,242.0,1948.666667
877,2015-05-28,C,2,cbtq,427.0,661.25
878,2015-05-29,D,4,ndga,184.5,440.7777778
879,2015-05-30,E,6,qgix,310.0,489.5
880,2015-05-31,A,4,lsyz,500.0,787.2222222
881,2015-06-01,B,4,ovld,189.0,1206.333333
882,2015-06-02,C,10,tzpg,635.0,728.5
883,2015-06-03,D,10,cctd,640.0,1655.4
884,2015-06-04,E,3,jhwx,64.5,5462.0
885,2015-06-05,A,4,ibiv,260.0,784.6666667
886,2015-06-06,B,4,cyyn,196.5,626.5
887,2015-06-07,C,8,sofx,66.0,548.625
888,2015-06-08,D,8,zkba,66.5,738.2
889,2015-06-09,E,9,zech,670.0,840.875
890,2015-06-10,A,5,tfkd,405.0,2001.0
891,2015-06-11,B,10,prom,680.0,1251.833333
892,2015-06-12,C,3,efiw,205.5,355.7777778
893,2015-06-13,D,7,guji,138.0,637.2222222
894,2015-06-14,E,9,wgrr,139.0,399.0
895,2015-06-15,A,8,fonj,560.0,611.6
896,2015-06-16,B,9,hwvk,423.0,584.8
897,2015-06-17,C,5,qfbc,568.0,4025.0
898,2015-06-18,D,10,iukw,143.0,888.25
899,2015-06-19,E,6,zhem,576.0,2384.333333
900,2015-06-20,A,4,rztx,652.5,1562.333333
901,2015-06-21,B,2,xgfj,657.0,515.4444444
902,2015-06-22,C,8,lrry,514.5,4489.0
903,2015-06-23,D,6,luku,296.0,429.5
904,2015-06-24,E,1,zpry,596.0,1144.5
905,2015-06-25,A,9,skyb,75.0,1323.333333
906,2015-06-26,B,10,ipix,0.0,598.4444444
907,2015-06-27,C,7,fucg,5.0,192.25
908,2015-06-28,D,6,oeck,10.0,1115.714286
909,2015-06-29,E,3,amge,7.5,402.75
910,2015-06-30,A,6,jady,10.0,663.5
911,2015-07-01,B,4,nggf,2.5,765.6
912,2015-07-02,C,9,eaxb,21.0,1369.75
913,2015-07-03,D,8,pgbx,7.0,994.2222222
914,2015-07-04,E,3,wyrj,24.0,825.0
915,2015-07-05,A,6,vzcz,36.0,873.625
916,2015-07-06,B,8,invc,30.0,664.0
917,2015-07-07,C,6,srmg,16.5,158.0
918,2015-07-08,D,3,uooa,48.0,309.625
919,2015-07-09,E,6,obtr,58.5,226.2857143
920,2015-07-10,A,7,pzbo,28.0,1109.142857
921,2015-07-11,B,2,hfrl,7.5,1668.4
922,2015-07-12,C,9,szbt,32.0,696.0
923,2015-07-13,D,3,rmov,34.0,111.8333333
924,2015-07-14,E,7,kkjp,63.0,1020.6
925,2015-07-15,A,5,ucjc,57.0,1333.333333
926,2015-07-16,B,4,jlqr,90.0,2467.0
927,2015-07-17,C,5,kytb,52.5,829.0
928,2015-07-18,D,6,veld,99.0,1015.0
929,2015-07-19,E,1,vcfs,34.5,973.0
930,2015-07-20,A,10,dbtt,96.0,3998.5
931,2015-07-21,B,8,nxhf,100.0,308.4444444
932,2015-07-22,C,10,pbiu,91.0,568.4444444
933,2015-07-23,D,9,njil,67.5,2279.5
934,2015-07-24,E,10,xyfo,84.0,703.8
935,2015-07-25,A,5,tdsw,29.0,2538.0
936,2015-07-26,B,10,gakb,150.0,36.875
937,2015-07-27,C,2,eiyo,62.0,587.6666667
938,2015-07-28,D,8,xcam,32.0,969.7777778
939,2015-07-29,E,8,inxg,66.0,1269.6
940,2015-07-30,A,10,riei,34.0,1496.0
941,2015-07-31,B,1,pzoe,122.5,1593.0
942,2015-08-01,C,6,omdb,54.0,528.5
943,2015-08-02,D,6,xmla,55.5,349.1
944,2015-08-03,E,9,ozjg,114.0,198.5
945,2015-08-04,A,4,bmdv,136.5,509.1666667
946,2015-08-05,B,4,rkqx,120.0,1245.25
947,2015-08-06,C,3,pxfw,123.0,885.3333333
948,2015-08-07,D,4,lnlu,21.0,360.7777778
949,2015-08-08,E,9,zqje,86.0,977.6
950,2015-08-09,A,8,haql,198.0,176.4444444
951,2015-08-10,B,8,fwcz,157.5,1423.5
952,2015-08-11,C,7,jnua,138.0,959.2857143
953,2015-08-12,D,6,qfhv,70.5,1063.888889
954,2015-08-13,E,7,vtvh,192.0,816.625
955,2015-08-14,A,9,yzuv,24.5,148.0
956,2015-08-15,B,6,mkod,75.0,766.0
957,2015-08-16,C,9,mpef,229.5,481.5
958,2015-08-17,D,5,xjhx,26.0,597.1666667
959,2015-08-18,E,5,dejr,79.5,180.0
960,2015-08-19,A,1,kqfx,54.0,1822.5
961,2015-08-20,B,3,utng,247.5,1840.75
962,2015-08-21,C,9,iulc,196.0,553.5
963,2015-08-22,D,5,ovyz,285.0,8031.0
964,2015-08-23,E,9,eyfe,29.0,1004.4
965,2015-08-24,A,3,wwxw,147.5,919.3
966,2015-08-25,B,6,ldjl,210.0,711.1428571
967,2015-08-26,C,7,hoiy,91.5,2267.75
968,2015-08-27,D,7,igrs,248.0,790.1111111
969,2015-08-28,E,6,xvob,189.0,443.0
970,2015-08-29,A,8,urus,160.0,173.8
971,2015-08-30,B,7,qjmr,227.5,207.0
972,2015-08-31,C,4,tvwg,297.0,1348.25
973,2015-09-01,D,10,atks,201.0,2337.0
974,2015-09-02,E,6,kgya,204.0,1260.333333
975,2015-09-03,A,2,lnwk,138.0,1532.75
976,2015-09-04,B,7,jubt,315.0,43.625
977,2015-09-05,C,4,tpvh,177.5,625.5
978,2015-09-06,D,4,cklf,288.0,2926.5
979,2015-09-07,E,6,zxen,328.5,283.5
980,2015-09-08,A,2,vhhq,148.0,1148.0
981,2015-09-09,B,10,bcvh,262.5,2383.5
982,2015-09-10,C,4,vvth,190.0,1198.5
983,2015-09-11,D,3,sfez,38.5,1301.5
984,2015-09-12,E,1,aopc,312.0,742.2
985,2015-09-13,A,9,yreo,39.5,707.8333333
986,2015-09-14,B,5,muvo,320.0,2162.666667
987,2015-09-15,C,3,gjwx,40.5,269.75
988,2015-09-16,D,6,wupb,410.0,2299.666667
989,2015-09-17,E,10,ciee,290.5,738.1666667
990,2015-09-18,A,1,sghk,126.0,950.375
991,2015-09-19,B,8,zmmu,340.0,618.3
992,2015-09-20,C,1,ketb,172.0,2664.5
993,2015-09-21,D,2,ctkk,435.0,593.6
994,2015-09-22,E,1,qzip,440.0,1523.5
995,2015-09-23,A,3,jcwh,133.5,6497.0
996,2015-09-24,B,3,faxb,405.0,564.1428571
997,2015-09-25,C,7,thym,318.5,4726.0
998,2015-09-26,D,9,wunr,414.0,1403.8
999,2015-09-27,E,4,zidc,325.5,819.5
1000,2015-09-28,A,9,sukj,141.0,1184.4
1001,2015-09-29,B,7,uokz,285.0,1287.142857
1002,2015-09-30,C,4,sdzx,240.0,1411.4
1003,2015-10-01,D,3,jugd,436.5,1406.0
1004,2015-10-02,E,2,ebvk,343.0,161.75
1005,2015-10-03,A,3,zqsf,99.0,616.5
1006,2015-10-04,B,4,ytsn,500.0,1395.2
1007,2015-10-05,C,9,zfmm,505.0,2350.0
1008,2015-10-06,D,1,hacy,510.0,413.4
1009,2015-10-07,E,5,nwcy,309.0,1159.2
1010,2015-10-08,A,10,fjeg,156.0,454.625
1011,2015-10-09,B,1,xyvu,210.0,2955.333333
1012,2015-10-10,C,9,feqd,318.0,2291.0
1013,2015-10-11,D,2,wrub,481.5,1973.0
1014,2015-10-12,E,6,ffyo,162.0,1131.714286
1015,2015-10-13,A,5,kdce,272.5,1051.75
1016,2015-10-14,B,4,ejdo,110.0,1697.6
1017,2015-10-15,C,8,ksmi,222.0,515.0
1018,2015-10-16,D,1,cboq,280.0,1296.6
1019,2015-10-17,E,1,xzrc,169.5,1490.333333
1020,2015-10-18,A,3,mqws,228.0,534.0
1021,2015-10-19,B,7,qbtu,115.0,770.5555556
1022,2015-10-20,C,3,zvkm,174.0,666.1428571
1023,2015-10-21,D,4,inmq,351.0,1631.0
1024,2015-10-22,E,7,ypeg,472.0,3415.0
1025,2015-10-23,A,3,wvsw,297.5,440.3333333
1026,2015-10-24,B,5,hssx,360.0,838.125
1027,2015-10-25,C,7,oknx,605.0,389.2222222
1028,2015-10-26,D,4,fxrb,488.0,573.2857143
1029,2015-10-27,E,6,csce,492.0,1873.25
1030,2015-10-28,A,8,fted,496.0,7026.0
1031,2015-10-29,B,4,hbri,187.5,589.7777778
1032,2015-10-30,C,10,vbnr,189.0,1413.25
1033,2015-10-31,D,4,udqj,571.5,5090.0
1034,2015-11-01,E,3,vmrf,128.0,144.625
1035,2015-11-02,A,3,vayx,645.0,781.5
1036,2015-11-03,B,9,kavc,195.0,118.8571429
1037,2015-11-04,C,1,ocmi,131.0,1005.5
1038,2015-11-05,D,3,seqx,462.0,405.1428571
1039,2015-11-06,E,7,ctmh,199.5,470.0
1040,2015-11-07,A,2,skzq,67.0,1460.5
1041,2015-11-08,B,8,eget,607.5,692.7142857
1042,2015-11-09,C,4,ciau,544.0,511.4
1043,2015-11-10,D,2,quag,274.0,508.875
1044,2015-11-11,E,9,bsrz,69.0,1123.857143
1045,2015-11-12,A,2,qljv,695.0,705.0
1046,2015-11-13,B,6,soxv,630.0,200.4
1047,2015-11-14,C,3,erfh,70.5,609.3333333
1048,2015-11-15,D,8,ivvu,284.0,4702.0
1049,2015-11-16,E,9,hwoi,214.5,1186.142857
1050,2015-11-17,A,7,umyt,360.0,3282.0
1051,2015-11-18,B,1,zasv,580.0,208.0
1052,2015-11-19,C,1,wkij,730.0,328.125
1053,2015-11-20,D,6,mjwz,367.5,577.8571429
1054,2015-11-21,E,3,awxy,592.0,1379.428571
1055,2015-11-22,A,7,cmtf,521.5,2141.0
1056,2015-11-23,B,5,zudi,675.0,7781.0
